,Name,AIC,Best p,Best d,Best q
0,Asparagus,622.1409230644152,2,0,5
1,Avocados,1567.5073395163358,1,0,1
2,Broccoli Bunches,1168.8807628080963,2,1,2
3,Broccoli Crowns,2217.967221399812,5,0,1
4,Cantaloupe,-872.3635510104012,1,1,1
5,Carrots,576.7540447416244,5,1,2
6,Cauliflower,-497.7805961793837,1,1,4
7,Celery,1022.4172916312747,2,0,5
8,Flame Grapes,759.0173390683858,4,0,2
9,Green Leaf Lettuce,1734.93979097187,5,0,4
10,Honeydews,-1345.4438743831035,2,1,2
11,Iceberg Lettuce,1461.4154172231704,1,0,5
12,Nectarines,545.8371365543649,3,0,5
13,Oranges,-587.0360916582167,2,1,3
14,Peaches,780.8332116242696,4,0,3
15,Plums,643.2053057523802,2,0,1
16,Potatoes,2081.927108201616,4,1,4
17,Red Leaf Lettuce,2792.9191774775545,1,0,4
18,Romaine Lettuce,281.62229634155506,2,1,4
19,Strawberries,1212.0920951649896,2,0,5
20,Thompson Grapes,183.4288719780266,3,0,1
21,Tomatoes,830.9075663288871,2,0,4
