,Date,Open
18030,1999-10-25,1301.650024
18035,1999-11-01,1362.930054
18040,1999-11-08,1370.22998
18045,1999-11-15,1396.060059
18050,1999-11-22,1422.0
18054,1999-11-29,1416.619995
18059,1999-12-06,1433.300049
18064,1999-12-13,1417.040039
18069,1999-12-20,1421.030029
18073,1999-12-27,1458.339966
18078,2000-01-03,1469.25
18083,2000-01-10,1441.469971
18092,2000-01-24,1441.359985
18097,2000-01-31,1360.160034
18102,2000-02-07,1424.369995
18107,2000-02-14,1387.119995
18116,2000-02-28,1333.359985
18121,2000-03-06,1409.170044
18126,2000-03-13,1395.069946
18131,2000-03-20,1464.469971
18136,2000-03-27,1527.459961
18141,2000-04-03,1498.579956
18146,2000-04-10,1516.349976
18151,2000-04-17,1356.560059
18155,2000-04-24,1434.540039
18160,2000-05-01,1452.430054
18165,2000-05-08,1432.630005
18170,2000-05-15,1420.959961
18175,2000-05-22,1406.949951
18184,2000-06-05,1477.26001
18189,2000-06-12,1456.949951
18194,2000-06-19,1464.459961
18199,2000-06-26,1441.47998
18204,2000-07-03,1454.599976
18208,2000-07-10,1478.900024
18213,2000-07-17,1509.97998
18218,2000-07-24,1480.189941
18223,2000-07-31,1419.890015
18228,2000-08-07,1462.930054
18233,2000-08-14,1471.839966
18238,2000-08-21,1491.719971
18243,2000-08-28,1506.449951
18252,2000-09-11,1494.5
18257,2000-09-18,1465.810059
18262,2000-09-25,1448.719971
18267,2000-10-02,1436.52002
18272,2000-10-09,1408.98999
18277,2000-10-16,1374.170044
18282,2000-10-23,1396.930054
18287,2000-10-30,1379.579956
18292,2000-11-06,1428.76001
18297,2000-11-13,1365.97998
18302,2000-11-20,1367.719971
18306,2000-11-27,1341.77002
18311,2000-12-04,1315.180054
18316,2000-12-11,1369.890015
18321,2000-12-18,1312.150024
18334,2001-01-08,1298.349976
18343,2001-01-22,1342.540039
18348,2001-01-29,1354.920044
18353,2001-02-05,1349.469971
18358,2001-02-12,1314.76001
18367,2001-02-26,1245.859985
18372,2001-03-05,1234.180054
18377,2001-03-12,1233.420044
18382,2001-03-19,1150.530029
18387,2001-03-26,1139.829956
18392,2001-04-02,1160.329956
18397,2001-04-09,1128.430054
18401,2001-04-16,1183.5
18406,2001-04-23,1242.97998
18411,2001-04-30,1253.050049
18416,2001-05-07,1266.609985
18421,2001-05-14,1245.670044
18426,2001-05-21,1291.959961
18435,2001-06-04,1260.670044
18440,2001-06-11,1264.959961
18441,2001-06-12,1254.390015
18445,2001-06-18,1214.359985
18450,2001-06-25,1225.349976
18455,2001-07-02,1224.420044
18459,2001-07-09,1190.589966
18464,2001-07-16,1215.680054
18469,2001-07-23,1210.849976
18474,2001-07-30,1205.819946
18479,2001-08-06,1214.349976
18484,2001-08-13,1190.160034
18489,2001-08-20,1161.969971
18494,2001-08-27,1184.930054
18503,2001-09-10,1085.780029
18504,2001-09-17,1092.540039
18509,2001-09-24,965.799988
